Genes	Similarity(max 1)
KIR3DL1	0.958333333
OR13J1	0.958466454
WBP5	0.958490566
ANXA9	0.958537916
CLEC10A	0.958712386
FAM192A	0.958747135
SPACA4	0.95879397
SCGB1D4	0.958810069
PRSS37	0.958887545
FLG	0.958918689
RHO	0.959007551
NKX2-4	0.959133127
DYRK4	0.959150327
RSAD2	0.959327217
CAPS	0.959375
CKMT1B	0.959451742
ELOVL4	0.959589268
S100B	0.959687906
ARGFX	0.959756098
C2orf53	0.959806295
CCL25	0.959879639
CHRNA4	0.959916493
GZMM	0.959930314
POLR3D	0.960385439
DHRS2	0.960403727
ZNF385C	0.960413081
RNF187	0.960451977
ALDH3A2	0.960484569
AS3MT	0.960566852
PRKCSH	0.960619469
FTH1P18	0.960741549
PBX1	0.96078139
ADAD2	0.960841899
CARD16	0.960869565
OBSCN	0.960904941
APOBR	0.960912052
SLC25A20	0.960990712
SPAG7	0.961077844
POMP	0.96130031
AP3S2	0.96130031
TTLL10	0.961306533
LGALS7	0.961373391
FHL3	0.961538462
NLRP13	0.961646399
TREML2	0.961723769
C14orf159	0.961873187
CDKN2B	0.961898164
AGPAT4	0.961923291
PTP4A2	0.961950059
KDSR	0.962000394
LOR	0.962085308
IFNLR1	0.962123894
C15orf40	0.962174941
PNPLA4	0.962190352
RNASE3	0.962290503
PTGFR	0.962340967
PRPF19	0.962430427
HRASLS	0.962550607
RPUSD1	0.962635202
GSX2	0.962686567
TMEM50B	0.962727994
CD68	0.96274653
TAS2R4	0.962755102
MICB	0.962827988
GPR37L1	0.962933118
ACTC1	0.963011889
PERP	0.963097713
ONECUT1	0.963181818
PLEKHJ1	0.963241437
SUPT4H1	0.963254593
NIPAL3	0.963259185
AKR1C1	0.963265306
FCGR2B	0.963267279
FAM47A	0.963376785
NUDT10	0.963421194
VKORC1L1	0.963483146
ISCU	0.963541667
UCMA	0.963547995
C8orf33	0.963654224
THPO	0.96369637
SLC24A6	0.96369637
AGPAT9	0.963898917
GPAT2	0.963956748
RAP2C	0.964037123
FAM32A	0.964038728
ENO1	0.964048673
CLNK	0.96406053
FAM213B	0.964151953
RNASE6	0.964184731
STRA6	0.964211975
SMU1	0.964244521
ARTN	0.964315353
MRPL54	0.964365256
PCDHB11	0.964383562
NUP62	0.964477212
TMEM65	0.964529332
TMEM86B	0.964632059
CST9	0.964705882
TIFA	0.964713715
LENG9	0.964727723
LDLRAD1	0.964739069
SPATA6	0.964756801
ADAM8	0.964763062
C7orf57	0.96479648
CACNB1	0.964807796
MOG	0.964824121
MT1X	0.964912281
FGFBP2	0.964928058
FCGR2A	0.964948454
CCDC150	0.964956831
PIGR	0.965015262
TFF2	0.965174129
SLC22A23	0.965196352
CAPNS1	0.965329708
TNFSF4	0.965455628
NUP50	0.965469339
TNFAIP8L1	0.965585054
B3GAT1	0.965600775
SPERT	0.965625
APOBEC3G	0.96568291
SP9	0.965706447
NDUFS6	0.965779468
NDUFB4	0.965779468
AP5Z1	0.965794769
SPRR2F	0.965798046
LCE5A	0.965811966
XRCC2	0.965844402
PDP2	0.965853659
TPSAB1	0.966033966
GLYATL1	0.966109785
MRGPRX2	0.966127401
C10orf120	0.966165414
GCDH	0.966169725
MAPK6	0.966265629
LRRC26	0.966282165
HIST1H4K	0.966292135
MBD3	0.966352624
HIST1H2BM	0.966367713
ARRB1	0.966375687
TRIM44	0.966380709
ZFPM1	0.966428178
CD300A	0.966583124
SCYL3	0.966612642
GABPA	0.96662332
CCL24	0.966666667
THEM4	0.966666667
ACAD8	0.96671787
CD276	0.966731898
AP2S1	0.966748768
ADAMDEC1	0.966751918
OSGIN2	0.966766617
CD164	0.96682792
TRNP1	0.966841187
C17orf62	0.966901408
CLEC7A	0.96692112
AZU1	0.966923925
GIMAP1	0.966942149
BST2	0.966942149
CDS2	0.967127746
ITIH3	0.967137809
TYK2	0.967192896
MRAP	0.967193196
YIF1B	0.9672
IFNA17	0.967246673
TSSC4	0.967270195
C14orf132	0.967292225
S100A12	0.967336683
NT5C2	0.967350477
CHN2	0.967418546
PRR23C	0.967438948
PARD6G	0.967471144
FAM178B	0.967523681
PRKRIR	0.967588179
SIRPB1	0.967592593
CRIP1	0.96763754
NME7	0.967647059
VPS37A	0.96769852
SIGLEC14	0.967722654
CCKBR	0.967741935
HOXD1	0.967810026
ZNF330	0.967823344
ARHGAP29	0.967855261
CLIC6	0.967861557
F11R	0.967867036
IRF9	0.967882417
OR14I1	0.967948718
CSRP1	0.967965146
NLRP12	0.96800324
AACS	0.968049155
SKA2	0.968062456
BTNL9	0.968094039
PPIC	0.96812749
C15orf48	0.968176255
XRRA1	0.968238114
NSUN4	0.968249075
TCL1A	0.968287526
GRAMD1A	0.968356843
SOX17	0.968421053
DNAJC30	0.968435191
PSORS1C2	0.968457944
IER3IP1	0.968534152
SIVA1	0.968586387
LCE1E	0.968590832
KIAA1217	0.968592965
EFHD2	0.968632371
VAMP3	0.968637993
FCRL3	0.968645017
ATP4B	0.968645764
LCP2	0.968698517
VSTM2L	0.96875
TAS2R14	0.96875
C16orf54	0.968810166
BHLHE22	0.968831169
PLEKHA5	0.96888091
BCAS2	0.968949045
CLEC19A	0.968949045
DPP7	0.968992248
FAS	0.969002123
OR10K1	0.969017094
PPP1R1B	0.969026549
CALCB	0.969147005
NME3	0.969151671
ASIP	0.969178082
SLC12A7	0.969189293
ZNF598	0.969194313
L2HGDH	0.96925195
MARCKS	0.969289827
FAM101A	0.969291729
ASPH	0.969336219
SCTR	0.969432314
LCN12	0.969521045
ZNF556	0.96954933
ZNF527	0.96955183
DPP3	0.969606004
LRRC3C	0.969623329
LSM11	0.969637991
CLDN11	0.96969697
TMEM52	0.96972973
CYTH4	0.969754855
COBRA1	0.96979086
AKR1B10	0.969868173
MED29	0.969952261
TCEB3B	0.970017637
HTR5A	0.970093458
RPS4X	0.970099668
UBE2G1	0.970124932
RRP15	0.970138383
NUB1	0.970184854
SCO2	0.97021764
KCTD21	0.970241603
NSG1	0.970256024
CC2D1B	0.97032967
LSM7	0.970355731
FAM134C	0.970430108
PDLIM7	0.970477387
CLDN5	0.970491803
DAB1	0.970495673
KLK10	0.970545977
MAP7	0.970557308
CR1L	0.970558376
PDE6B	0.970614164
LGALS3BP	0.970615672
PATE1	0.970731707
WDR85	0.970731707
ABLIM2	0.970765521
MRPL30	0.970885564
USP6NL	0.970891588
PRG4	0.971003717
C2orf83	0.971014493
C17orf103	0.971065322
CDC20B	0.971081757
CHGA	0.971106758
ATP6V0A1	0.971112696
ABT1	0.971175166
MAFK	0.971176471
CASP3	0.971205265
GPR107	0.971231085
OR8H1	0.971246006
RGS16	0.971264368
TMEM215	0.971267606
ZNF511	0.971269694
SARNP	0.971291866
FAM134B	0.971303805
GJC2	0.971309771
SSTR5	0.97134123
PF4	0.971360382
P2RY8	0.971363979
TPMT	0.971428571
OR4K2	0.971428571
C9orf156	0.97144593
HABP4	0.971465629
FAM168A	0.971530249
SHISA8	0.971539457
CEL	0.971551724
IFNAR2	0.971569371
RILP	0.971590909
S100A3	0.971599402
CBY3	0.971604938
ALPPL2	0.971605576
TSR3	0.971666667
TMEM182	0.971674877
MMD2	0.971692308
TRAPPC6B	0.971719457
IDO1	0.971743625
ARL16	0.971766849
FAM101B	0.971802102
SLC26A5	0.971841705
GPR31	0.971875
OR13F1	0.971875
DNAH14	0.971881118
CYP2D6	0.97188755
CCDC90A	0.971917426
CABP4	0.971917808
GPR63	0.971942204
NYAP1	0.971944444
P2RY11	0.971957937
ADH1A	0.971962617
FLYWCH2	0.972
RELL1	0.972012103
GPC1	0.972033668
MYLK4	0.972048547
PIK3C2B	0.972056993
DNAJC22	0.972058824
USP18	0.972072513
TMEM223	0.97207304
RBM3	0.972121212
ISY1	0.972123531
RHOXF2B	0.972179289
PDCD1	0.972222222
THAP3	0.972222222
TBX6	0.972237646
SULT1B1	0.972260749
FAM53A	0.972273567
LGALS12	0.972293814
C9orf172	0.972325485
OTUD6A	0.972369195
APOBEC3B	0.97242285
HAGH	0.97245409
TMEM11	0.972457627
GFOD2	0.972463768
ATP6V0E2	0.97247075
ZNF619	0.97249809
CLTA	0.972577697
IGFL1	0.972584856
PRR18	0.972619048
GSDMA	0.972619048
C8orf4	0.972640219
C3orf43	0.972650771
IER2	0.972654408
FAM64A	0.97265625
WDR46	0.972696246
VAX1	0.972698908
GTF2A2	0.972762646
SPINK7	0.97277677
RAP2B	0.972781902
CEACAM4	0.972783143
TSC22D2	0.972792608
SYNGR3	0.97279597
SELE	0.972799589
CINP	0.972803347
SSR1	0.972807822
PABPC1L2A	0.97283085
STAT5A	0.972851747
ANKLE1	0.972853999
SLC23A1	0.972875226
KLRC1	0.972911964
ASCL2	0.97292863
PABPC1L	0.972929936
DLX6	0.972929936
NUDT16L1	0.972931168
ODF3L2	0.972935461
LBX2	0.972950127
C9orf123	0.972961901
LILRB4	0.972972973
C15orf52	0.973003375
OR2J2	0.973051011
ZNF490	0.973052425
TTF2	0.973095136
P2RX7	0.973123262
ARHGAP23	0.973150963
USE1	0.973162194
WDR55	0.973176471
EPB41	0.973185214
CXCL3	0.973206569
RNASET2	0.973214286
TMEM114	0.973214286
RASGRP3	0.973239135
C1D	0.97327044
ST3GAL1	0.973289597
FUOM	0.973293769
RDH13	0.973298429
RTBDN	0.973333333
APEX1	0.973352034
FCRL4	0.973390276
JMJD8	0.973399015
IFIT3	0.973413897
RNF125	0.973418394
CTAGE1	0.973439575
LCE2A	0.973451327
TMEM8B	0.973497689
CTSG	0.973509934
TRO	0.973549488
GPS1	0.973550929
DLL3	0.973553719
NLRP2	0.973578595
MYOM2	0.97358415
TFB2M	0.973610331
TMEM141	0.973611111
THBS2	0.973616141
ATPIF1	0.973684211
NEUROG1	0.973684211
EAPP	0.973684211
SCAND1	0.973720609
AQP12B	0.973735409
CD22	0.973739813
ABHD12	0.973756151
GATA2	0.973777105
GSTM3	0.97384807
SPRR1B	0.973867596
PDPN	0.973881932
C12orf39	0.973895582
GJA8	0.973919523
MAN1B1	0.973922492
PYROXD2	0.97392564
ELANE	0.973941368
SEC22C	0.973943438
DMBX1	0.973986228
CCL22	0.974017094
RBMXL2	0.974019358
ATP6AP1	0.974038462
RABL2B	0.974062066
TMEM127	0.974077463
ATP12A	0.974082073
CETN2	0.974106042
TRAM2	0.974120675
TM4SF20	0.974126779
IL17RC	0.97416349
TTC21A	0.974172341
MMP15	0.974186308
AIF1L	0.974193548
C19orf6	0.974216581
UVSSA	0.974218987
LYNX1	0.974226804
GPR97	0.974234503
FANCC	0.974246415
EN1	0.974255427
TROAP	0.974289581
CMTM7	0.97429078
TLE6	0.974332111
DGKD	0.974358974
OR10G7	0.974358974
FAM111B	0.974387528
OR2T8	0.974440895
OR4F15	0.974440895
DZANK1	0.974451458
SOX3	0.974452555
THUMPD1	0.974457505
KLRD1	0.974461693
PGP	0.974482249
IVL	0.974492452
CCDC127	0.974526929
ADAMTS17	0.974539282
SLC30A7	0.974545007
C5orf64	0.974552309
FAM133A	0.974556213
SURF4	0.974573436
CDC6	0.974576271
OR5F1	0.974603175
ZNF324B	0.974662162
CD40	0.974667511
MYO3A	0.974668275
C9orf96	0.97467383
PPBP	0.974719101
TNFSF8	0.974734043
DUOXA2	0.974736842
OR2G6	0.974763407
ZFP82	0.974776872
BRD9	0.974805039
ST6GAL2	0.97480735
PABPC5	0.974812196
RPL10A	0.974825175
FCRL5	0.97484742
SRD5A2	0.974850299
HMX3	0.974860335
CDC16	0.974860335
CTDSP2	0.97486932
ZNF177	0.974882261
B4GALNT3	0.974891775
CYB5RL	0.974932045
IGFLR1	0.974958264
EFNA1	0.974967062
ZIC2	0.974985787
PALLD	0.974994158
HOXD10	0.975
PDXP	0.975
C20orf85	0.975
FUT3	0.975
PHACTR4	0.9750499
FAM83E	0.975069252
OR7C2	0.975077882
GNPNAT1	0.975081257
RPS20	0.975098296
PPP2R4	0.975118917
NQO1	0.975128306
CCL26	0.975143403
CRYL1	0.97518444
TEDDM1	0.97519084
CST3	0.975195822
CEBPD	0.9752
NOS2	0.97520267
PASD1	0.975203684
CPSF3L	0.97527872
GPHB5	0.975285171
NPPC	0.975292588
ABTB2	0.97530608
MBOAT2	0.975324264
UPK3B	0.97532656
POLR2E	0.975359343
OR2L3	0.975359343
C8orf48	0.975369458
HOXC4	0.975375375
TCAP	0.975376197
DYNLT3	0.975399754
TFF1	0.975409836
FAM25A	0.975409836
ZNF2	0.975421864
EHD2	0.975431413
IL11	0.975450902
WIPF1	0.975460123
LPHN1	0.975470982
SLC4A1	0.975507348
NHLRC3	0.975519499
CD72	0.975530179
LCMT1	0.975555556
PNKP	0.975581395
PIK3R1	0.975609756
OR9G4	0.975609756
HIST1H1D	0.975609756
PITPNM3	0.975624082
UPK1B	0.975633528
SH2D4A	0.97564688
MED28	0.975678204
APOBEC3F	0.975688817
SLC25A29	0.975691534
TRIM16L	0.975701944
SOX9	0.975705844
MTMR10	0.975719241
USP51	0.975722543
HMX1	0.975747321
AMN1	0.975760456
GKAP1	0.975806452
CD40LG	0.975810885
AARD	0.975812025
C4BPB	0.975814932
KRTAP3-3	0.975817923
SMIM5	0.975824176
NR2C2AP	0.975828111
OCRL	0.975832942
IL13RA2	0.975856698
SASS6	0.975862964
SLC30A1	0.975903614
CHORDC1	0.975915222
HIST1H2AC	0.975925926
ZC2HC1C	0.975927783
TMEM18	0.975947522
CELF2	0.975971922
TMEM159	0.975985222
TMEM97	0.976
TMEM117	0.976005906
HUNK	0.976017735
CLRN1	0.976031957
FAM212A	0.97605364
DOM3Z	0.976100629
C1QTNF4	0.97611465
TRIM38	0.976132191
MFSD12	0.976178901
ST6GALNAC4	0.976190476
PPAPDC1B	0.976190476
HIST1H4E	0.976190476
SRSF12	0.976197473
AEN	0.976198134
LACRT	0.976237624
CAMLG	0.976241901
FAM19A4	0.976265823
FECH	0.976291955
TGS1	0.97630587
GSTA5	0.976331361
SLC17A4	0.976342889
PNMA5	0.976367319
MAGEA4	0.976392252
ARSA	0.976394116
BRCC3	0.976416755
XRCC3	0.976422764
WDR90	0.976427924
SHARPIN	0.976441414
PROSER2	0.976452119
CAPN7	0.976461039
SNX24	0.976470588
IL17A	0.976480836
EXTL1	0.976494635
TOP1MT	0.976506024
SLC2A3	0.976524624
ERG	0.97652488
RHCE	0.976542137
UMODL1	0.976552859
ITGAE	0.976553341
GZMA	0.9765625
VMO1	0.9765625
PTPN18	0.976571652
NRG1	0.976582827
FGF22	0.976608187
MLYCD	0.976616231
PRDX2	0.976626016
CD1E	0.976633286
EPO	0.976639712
UCHL3	0.976640712
CEP164	0.976655116
KRT33A	0.976689977
RHOJ	0.976712329
SWSAP1	0.976718404
IL15	0.976728723
ANKS1B	0.976744186
C3orf14	0.976744186
KRTAP21-1	0.976744186
FBLIM1	0.976787372
PLA2G4C	0.976805832
DCUN1D2	0.976821192
C17orf97	0.976839237
LRRN4	0.976855003
CCDC169	0.976859504
FAM203A	0.976868327
C20orf173	0.976893453
NTF4	0.976915974
PTGDS	0.976923077
EXOC3	0.976931527
SKA1	0.976932935
SLC19A1	0.976939203
H1F0	0.976962457
CD46	0.976975731
OR13A1	0.976987448
DAB2	0.976993522
TMEM180	0.977005348
WDR73	0.977018634
C19orf21	0.977019749
C5orf15	0.977043159
PVR	0.97705803
B3GNT7	0.97706422
MAP3K14	0.9770735
CYP2A13	0.977077364
FAM46B	0.977089521
ASTE1	0.977094241
LYZL6	0.977099237
DNPH1	0.977099237
HIST2H2BF	0.977099237
MYCT1	0.977101734
MPP2	0.977118341
CCNG1	0.977121771
ZNF648	0.977128686
HSPB1	0.977135981
MT1A	0.97715736
SH3RF2	0.977159881
SSNA1	0.977173913
CYP2C8	0.977177177
FLT4	0.977180527
MAMU-DOB	0.977205882
FIGN	0.977212971
FAM210B	0.97721943
KCTD11	0.977227723
NOB1	0.977232925
MRPS10	0.977241059
ZDHHC21	0.977253166
FUT6	0.977258758
FOXQ1	0.977272727
MRPL14	0.977272727
HIST1H2AA	0.977272727
SGTA	0.977303071
STXBP2	0.97733263
PRSS50	0.97733711
OR4N5	0.977346278
NCOA7	0.977358491
TPP1	0.977370381
CCDC120	0.977393147
GM2A	0.977395048
AIM1L	0.977420589
GLRX3	0.977426637
SYNJ2BP-COX16	0.977426637
ZNF33A	0.977432297
C5orf47	0.977433004
BBS5	0.977473854
FAM65C	0.977474057
TMEM189	0.977474403
ORC6	0.977477477
RHOD	0.977485929
PDIA4	0.977489768
C16orf91	0.977491961
CALR	0.97751046
NDUFA13	0.97752809
RESP18	0.97752809
MAPK4	0.97754491
NUDT15	0.97755884
OR10G9	0.977564103
MSLN	0.977589641
STAU1	0.977604674
THSD7A	0.977609108
CHCHD1	0.97761194
PLAC9	0.97761194
LCN2	0.97761194
OR11A1	0.977632805
OR2L5	0.977635783
LPIN2	0.977640581
COG4	0.977659574
PSMB3	0.977660972
GLTPD1	0.97766403
ADAP1	0.977676538
C6orf62	0.977678571
EEF1B2	0.977695167
TNFRSF14	0.977699531
UGGT1	0.977703039
FHIT	0.977713178
SLC10A2	0.977715877
SLC26A4	0.977731092
TECR	0.977736549
LAT	0.977736549
TRMT10B	0.977748109
PPP3R1	0.977748256
CHCHD2	0.977750309
TRIM27	0.977777778
URB1	0.977791878
COIL	0.977794793
HLX	0.977796755
CLEC2L	0.977829638
DSG1	0.977835463
IGFBP3	0.977837475
PRPH2	0.977852349
FXYD6	0.977855478
NUDT12	0.977861928
CCDC51	0.977882038
TRABD2A	0.977894737
NUDT7	0.977894737
GORAB	0.977896852
GEMIN7	0.97791411
PPIL1	0.977917981
PRPS1	0.977927063
C21orf33	0.977927652
NARFL	0.977948226
TRIM68	0.977957156
C16orf89	0.977979275
DPEP2	0.977981651
FUT5	0.978
CEP57L1	0.978036176
COX4I1	0.978038067
CLEC4F	0.978040541
CD27	0.978046934
RAMP3	0.978054133
GCSAML	0.978056426
ZNF76	0.97806354
YRDC	0.978070175
PLP2	0.978074357
IL20	0.978079332
SPRN	0.978084416
ICOSLG	0.978085723
PSG3	0.978086194
CDKL3	0.978087649
COLQ	0.978107607
WDR78	0.978115345
TYSND1	0.978119935
STYX	0.978122949
OR51V1	0.978125
FGF8	0.978142077
NIPSNAP3B	0.978173464
ESPN	0.978174603
CCDC121	0.978180473
MAMU-DMA	0.978181818
SAMD9L	0.978183852
PEX12	0.978201635
PDXK	0.978202995
C2orf50	0.978215768
SFXN3	0.978222691
ECHS1	0.978227061
GPR137C	0.978237603
SGSM1	0.978238607
PEX10	0.978243978
IL1F10	0.978245105
PAPD4	0.978248588
CDH22	0.978254961
CLDN25	0.97826087
RPL22	0.978271366
C1orf116	0.978288402
SIGLEC15	0.978305085
C1GALT1	0.978306621
APOL2	0.978328173
RBM4	0.978338183
GOSR1	0.978354978
R3HDM4	0.978369384
PYCR1	0.978378378
ARPC5	0.978409689
STYXL1	0.978424015
KRT74	0.978432782
ZNF57	0.978435306
MAP2K7	0.97844691
NXPE3	0.978451942
LBP	0.978455071
ACSL6	0.978456293
INIP	0.97845953
S100A14	0.978464419
ZNF516	0.978482446
C3orf17	0.978501229
SETD4	0.97850208
CENPM	0.978517723
C5orf51	0.978519371
ESPNL	0.978520286
PTRF	0.97852984
LCN6	0.978533095
ABHD16B	0.978543196
DFFB	0.978545888
STAT3	0.978546136
PLCH2	0.978559534
HERPUD2	0.978559871
CXCL2	0.97856554
SNRPG	0.978571429
FAM181A	0.978580991
RAB40AL	0.978599222
PYGM	0.978611501
CDC123	0.978623914
ZBED3	0.978632479
CLCN7	0.978636826
TTC33	0.97864184
HBA2	0.978647687
VGLL2	0.978657181
FBL	0.978666667
NOL6	0.978671837
INHBA	0.978671837
MAP3K6	0.978679505
AFF2	0.978683967
ZFP42	0.978708791
SCOC	0.978710081
DBR1	0.978723404
FXYD4	0.978723404
RABEPK	0.978723404
CLDN7	0.978723404
WDR17	0.978723404
PRB1	0.978723404
GALNT13	0.978741142
TRPC5OS	0.978744439
PSMC6	0.978750805
HNF1A	0.978774529
CCDC177	0.978779208
RNMTL1	0.978786093
GAS7	0.978808915
GJB7	0.97881137
NINJ1	0.978823529
NKAIN4	0.978825137
TMEM43	0.978831246
SCAMP4	0.978842315
CREB3L3	0.978842564
NXPH3	0.978851964
MAMU-DRA	0.978898007
RFXANK	0.978917779
ITPKA	0.978918919
MC5R	0.978928885
ZNF417	0.978933214
TMEM52B	0.978936282
EGFL7	0.978968792
SYCN	0.978984238
FOXE1	0.978998384
TMEM201	0.979006112
CYP2S1	0.979007634
PPP1R3G	0.979008746
ABP1	0.979012346
TAGLN	0.979033728
NDE1	0.979034307
RPS17	0.979035639
FMN1	0.979048558
DMKN	0.979050279
DUSP16	0.979053675
GPR137B	0.979060266
DCLRE1C	0.9790625
TSPAN2	0.979062812
RPUSD4	0.97907263
PACRGL	0.979090909
LRRC3	0.979091275
FAM71F1	0.979094077
MYPOP	0.979096045
GPR22	0.979096426
FAM171A2	0.979099678
ALDH3B2	0.979100409
TYW5	0.979104478
CTAG1A	0.979108635
RNASE4	0.979123173
NAPEPLD	0.979124384
COX18	0.979131686
DTYMK	0.979149291
AADACL3	0.979161436
ZNF776	0.979166667
IL24	0.979166667
TMSB15B	0.979166667
TMEM129	0.979174701
DDX51	0.979175705
EID2B	0.979178391
KRT26	0.979190751
ABHD14B	0.979203803
MESP2	0.979207277
ADAM20	0.97921147
HIST1H2BJ	0.979214781
C19orf59	0.979214781
CYP11A1	0.979230769
CCL16	0.979238754
PSD4	0.979240807
POP4	0.979245283
TLR2	0.979246961
RETNLB	0.979262673
FOXR2	0.979263867
SLC2A12	0.979273457
COMMD10	0.979284369
FGFBP1	0.979294479
FAM228B	0.979310345
RARB	0.979310345
AIM2	0.979324604
ZNF350	0.979326923
ARFRP1	0.979328165
KBTBD11	0.979337064
RGS5	0.979346782
IGFBP5	0.979369628
TCN2	0.97937081
PITX1	0.979372197
